FECHA,BLUE_VTA
04-05-2020,124.5
05-05-2020,127
06-05-2020,133
07-05-2020,138
08-05-2020,138
11-05-2020,128
12-05-2020,124
13-05-2020,124
14-05-2020,125
15-05-2020,126
18-05-2020,129
19-05-2020,127
20-05-2020,124
21-05-2020,125
22-05-2020,128
26-05-2020,124
27-05-2020,123
28-05-2020,123
29-05-2020,125
01-06-2020,125
02-06-2020,124
03-06-2020,124
04-06-2020,123
05-06-2020,126
08-06-2020,125
09-06-2020,124
10-06-2020,127
11-06-2020,128
12-06-2020,127
16-06-2020,127
17-06-2020,128
18-06-2020,128
19-06-2020,129
22-06-2020,129
23-06-2020,126
24-06-2020,128
25-06-2020,129
26-06-2020,127
29-06-2020,127
30-06-2020,127
01-07-2020,127
02-07-2020,127
03-07-2020,127
06-07-2020,127
07-07-2020,127
08-07-2020,127
10-07-2020,130
13-07-2020,130
14-07-2020,130
15-07-2020,132
16-07-2020,133
17-07-2020,136
20-07-2020,139
21-07-2020,136
22-07-2020,135
23-07-2020,135
24-07-2020,136
27-07-2020,136
28-07-2020,136
29-07-2020,128
30-07-2020,129
31-07-2020,130
03-08-2020,132
04-08-2020,132
05-08-2020,132
06-08-2020,132
07-08-2020,133
10-08-2020,131
11-08-2020,131
12-08-2020,132
13-08-2020,133
14-08-2020,132
17-08-2020,132
18-08-2020,132
19-08-2020,134
20-08-2020,136
21-08-2020,138
24-08-2020,137
25-08-2020,137
26-08-2020,137
27-08-2020,138
28-08-2020,136
31-08-2020,135
01-09-2020,133
02-09-2020,133
03-09-2020,134
04-09-2020,132
07-09-2020,131
08-09-2020,131
09-09-2020,131
10-09-2020,131
11-09-2020,131
14-09-2020,132
15-09-2020,131
16-09-2020,145
17-09-2020,141
18-09-2020,140
21-09-2020,141
22-09-2020,144
23-09-2020,145
24-09-2020,147
25-09-2020,145
28-09-2020,145
29-09-2020,146
30-09-2020,146
01-10-2020,147
02-10-2020,150
05-10-2020,150
06-10-2020,152
07-10-2020,155
08-10-2020,158
09-10-2020,167
13-10-2020,166
14-10-2020,167
15-10-2020,171
16-10-2020,178
19-10-2020,181
20-10-2020,180
21-10-2020,183
22-10-2020,190
23-10-2020,195
26-10-2020,190